"year","AW","AG","AE","AF","DZ","AZ","AL","AM","AD","AO","AS","AR","AU","AT","AI","BH","BB","BW","BM","BE","BS","BD","BZ","BA","BO","MM","BJ","BY","SB","BR","BT","BG","BN","BI","CA","KH","TD","LK","CG","CD","CN","CL","KY","CM","KM","CO","MP","CR","CF","CU","CV","CK","CY","DK","DJ","DM","DO","EC","EG","IE","GQ","EE","ER","SV","ET","CZ","FI","FJ","FM","FO","PF","FR","GM","GA","GE","GH","GI","GD","GG","GL","DE","GU","GR","GT","GN","GY","PS","HT","HK","HN","HR","HU","IS","ID","IM","IN","IR","IL","IT","CI","IQ","JP","JE","JM","JO","KE","KG","KP","KI","KR","KW","NA","KZ","LA","LB","LV","LT","LR","SK","LI","LS","LU","LY","MG","MO","MD","MN","MS","MW","ME","MK","ML","MC","MA","MU","MR","MT","OM","MV","MX","MY","MZ","NC","NE","VU","NG","NL","SX","NO","NP","NR","SR","NI","NZ","PY","PE","PK","PL","PA","PT","PG","PW","GW","QA","RS","MH","MF","RO","PH","PR","RU","RW","SA","PM","KN","SC","ZA","SN","SH","SI","SL","SM","SG","SO","ES","LC","SD","SE","SY","CH","BL","TT","TH","TJ","TC","TO","TG","ST","TN","TL","TR","TV","TW","TM","TZ","CW","UG","GB","UA","US","BF","UY","UZ","VC","VE","VG","VN","VI","NA.1","WF","EH","WS","SZ","YE","ZM","ZW"
2017,115120,94731,6072475,34124811,40969443,9961396,3047987,2995887,85702,20728849,54069,44228776,23232413,8224442,17087,1410942,292336,2235533,70864,10460491,329988,174494061,360346,3856181,11138234,57457664,11038805,9549747,647581,207353391,758288,6749824,443593,12292976,35623680,16204486,12075985,22409381,5025422,83301151,1372088181,17789267,58441,22223451,808080,47698524,54560,4930258,5625118,10996124,560899,9290,1221549,5605948,865267,73897,10734247,16290913,91635233,5011102,778358,1231466,6821292,6172011,105350020,10089091,5273465,920938,104196,50730,287881,67106161,2051363,1772255,4492181,27499924,29396,111724,66502,57713,80594017,163875,10768477,15460732,12413867,741403,4867006,10346294,7279725,9038741,4451584,9850845,323392,260580739,88815,1281935911,83768457,8157105,62137802,24184810,34751519,126451398,98840,2990561,6876804,47615739,5789122,25248140,108145,49237468,2875422,1895250,18556698,7126706,4189699,2123401,3473182,4405340,5499136,38244,1958042,538275,6653210,25054161,601969,3474121,3407696,5292,18687310,642550,2103721,17989813,30645,33986655,1356388,3758571,416338,3424386,392709,121116964,31381992,26573706,279070,19245344,282814,192908805,17084719,42083,4786379,32658735,9642,591919,6025951,4510327,6943739,31036656,204924861,38188708,3753142,10839514,6909701,21431,1792338,2314307,7111024,74539,32125,21529967,113510010,3597257,142257519,13319202,28571770,5533,52715,93920,48390475,14668522,7828,1972126,6163195,33537,5888926,11031386,48958159,164994,37345935,9189164,23614454,8236303,7184,1218208,68734559,8468555,52570,106479,7965055,201025,11229332,1291358,84273192,11052,23508428,5351277,53950935,149648,39570125,64769452,43437326,328131075,20107509,3360148,29748859,102089,30083357,35015,96160163,102303,2236141,15714,603253,200108,1467152,27908226,15972000,14868131
2018,116576,95882,6215216,34940837,41657488,10046516,3057220,3002618,85708,21299850,53961,44618171,23470145,8223706,17422,1442659,293131,2261577,71176,10462785,332634,177330990,366820,3849891,11306341,58020363,11340504,9527543,660121,208846892,766397,6690117,450565,12663787,35881659,16449519,12301522,22576592,5163463,85281024,1376745757,17925262,59613,22640808,821164,48168996,55625,4987142,5745062,10976351,568373,9038,1237088,5618075,884017,74027,10860656,16498502,93190220,5068050,797457,1222166,6967945,6187271,108386391,10065943,5273701,926276,103643,51018,290373,67364357,2092731,1806505,4475148,28102471,29461,112207,66697,57691,80457737,165177,10761523,15730576,12741800,744509,4972252,10463228,7298414,9182766,4444034,9825704,325341,262787403,89407,1296834042,84718095,8265786,62246674,24627473,35468423,126168156,99602,3010762,7010264,48397527,5849296,25381085,109367,49286387,2916467,1907592,18744548,7234171,4208736,2108565,3461273,4511788,5498802,38547,1962461,544205,6754507,25683610,606340,3437720,3451325,5315,19185476,640990,2107091,18523478,30727,34314130,1364283,3840429,417381,3494116,392473,122311746,31809660,27233789,282754,19866231,288037,197740825,17151228,42677,4802913,33191780,9692,597927,6085213,4545627,7025763,31331228,207862518,38118547,3800644,10842647,7027332,21516,1825670,2363569,7078110,75684,32284,21457116,115454332,3575299,142122776,13653385,28985905,5471,53094,94633,48440134,15020945,7841,1965706,6312212,33779,5995991,11259029,49331076,165510,37957307,9207838,23996061,8292809,7160,1215527,69022738,8604882,53701,106398,8176449,204454,11321115,1321929,85120682,11147,23545963,5411012,55451343,150241,40853749,65105246,43148335,331026411,20716669,3369299,30023709,101844,30484042,35802,97040334,101623,2246261,15763,619551,201316,1482733,28522332,16445079,15190641
2019,118013,97031,6356100,35780458,42325923,10128025,3066126,3009807,85684,21885078,53866,45001591,23705630,8222201,17756,1474016,293874,2287158,71472,10464320,335210,180203950,373257,3843037,11473676,58576935,11646392,9503591,672631,210301591,774410,6629803,457533,13042255,36136376,16690861,12528344,22736505,5303071,87265519,1380914218,18057855,60781,23056939,833909,48631464,56660,5043084,5867019,10954975,575839,8799,1252147,5630198,902892,74144,10985823,16703254,94731959,5123219,816736,1212582,7114222,6202330,111483031,10040737,5273225,931295,103057,51319,292789,67611479,2133640,1841324,4457705,28715894,29523,112665,66880,57660,80313272,166658,10752626,15998742,13077166,748823,5076456,10578831,7314647,9325005,4435925,9799351,327252,264935824,89969,1311559204,85644897,8372946,62334799,25067462,36181385,125853035,100348,3030906,7143866,49142516,5907966,25513061,110587,49327582,2955897,1920079,18923073,7341182,4226646,2093241,3448684,4619132,5497141,38844,1966253,550167,6850229,26317853,610510,3401197,3493946,5342,19691201,639905,2110113,19068037,30825,34637293,1371946,3922758,418313,3564276,392217,123491270,32233022,27910300,286401,20501509,293212,202670590,17216476,43265,4819635,33708908,9740,603823,6144442,4580406,7108524,31624207,210797836,38038773,3847647,10843431,7143996,21600,1859095,2406676,7045162,76811,32427,21381356,117394517,3552186,141944641,13989620,29401901,5409,53463,95321,48486556,15377009,7852,1958778,6466064,34010,6102937,11500692,49683254,166008,38562626,9226541,24372799,8348737,7140,1212401,69297399,8740073,54819,106270,8390953,207822,11409539,1352718,85948787,11244,23577456,5470233,56985045,150809,42169690,65436510,42856250,333928686,21340061,3378471,30296157,101612,30881759,36591,97894734,100907,2255091,15809,635896,202541,1498103,29129420,16929953,15512471
2020,119428,98179,6495479,36643815,42972878,10205810,3074579,3017370,85635,22484029,53782,45378990,23938599,8219824,18090,1505003,294560,2312142,71750,10465034,337721,183108550,379640,3835586,11639909,59125893,11956340,9477918,685097,211715973,782318,6568957,464478,13428613,36387359,16926984,12755612,22889201,5444085,89249735,1384545220,18186770,61944,23471167,846281,49084841,57664,5097988,5990855,10931869,583255,8574,1266676,5642297,921804,74243,11109446,16904867,96260017,5176569,836178,1202704,7259952,6217074,114640234,10013419,5271991,935974,102436,51628,295121,67848156,2173999,1876719,4439752,29340248,29581,113094,67052,57616,80159662,168322,10742032,16264340,13419912,754344,5179328,10692726,7328382,9465127,4427282,9771827,329121,267026366,90499,1326093247,86543402,8478595,62402659,25503829,36889371,125507472,101073,3051076,7277578,49858045,5964897,25643466,111796,49361803,2993706,1932774,19091949,7447396,4243323,2077447,3435342,4727293,5494128,39137,1969334,556158,6942544,26955737,614458,3364496,3535432,5373,20203928,639302,2112774,19623274,30940,34955862,1379365,4005475,419123,3634689,391904,124653623,32652083,28603070,290009,21151442,298333,207698749,17280397,43847,4836456,34208638,9785,609569,6203441,4614669,7191685,31914989,213719471,37949128,3894082,10842038,7259456,21685,1892584,2444174,7012165,77917,32556,21302893,119328726,3527906,141722205,14327380,29818901,5347,53821,95981,48529675,15736368,7862,1951358,6624933,34232,6209660,11757124,50015792,166487,39160625,9244914,24743836,8403994,7122,1208789,69557701,8873669,55926,106095,8608444,211122,11494176,1383723,86756884,11342,23603049,5528627,58552845,151345,43517666,65761117,42561106,336835531,21977701,3387605,30565411,101390,31275849,37381,98721275,100156,2262573,15854,652271,203774,1513201,29727465,17426623,15831990
2021,120820,99325,6628057,37524713,43596498,10279658,3082448,3024573,85565,23096360,53706,45749863,24168697,8216417,18424,1527305,295177,2336396,72009,10464804,340163,186050408,386000,3827465,11805492,59667350,12270436,9450568,697535,213093938,790121,6507583,471400,13822483,36633631,17158314,12984142,23035344,5586246,91235492,1387640564,18311746,63103,23883958,858404,49528737,58624,5151722,6116555,10906812,590604,8360,1280635,5654265,940771,74321,11231592,17103554,97775709,5228101,855783,1192528,7405460,6231711,117856725,9983894,5269898,940376,101787,51943,297370,68073427,2213905,1912748,4421146,29974915,29632,113493,67213,57558,79995506,170071,10729930,16528032,13769914,760552,5281161,10805749,7339516,9603650,4418056,9743110,330941,269065054,90995,1340451141,87408792,8582723,62455904,25937681,37593806,125133232,101769,3071319,7411431,50551368,6019773,25771753,112999,49388043,3030320,1945675,19251574,7553148,4258727,2061192,3421183,4836539,5489726,39423,1971564,562171,7032131,27596827,618171,3327564,3575716,5404,20723341,638854,2115028,20188461,31068,35270322,1386538,4088630,419807,3705023,391506,125799019,33066979,29312011,293582,21816310,303417,212826579,17342780,44418,4853222,34698802,9828,615176,6262289,4648391,7274988,32201849,216642255,37849291,3939988,10838543,7374026,21769,1926158,2476556,6979102,79002,32671,21221688,121257874,3502459,141460492,14668515,30235531,5284,54166,96613,48570353,16099102,7870,1943453,6788990,34445,6315977,12028823,50329550,166946,39822684,9262470,25110450,8458426,7106,1204689,69803397,9005072,57022,105879,8829018,214387,11574583,1414866,87545133,11440,23623033,5585975,60154657,151847,44896475,66077211,42262176,339744557,22629796,3396644,30830761,101179,31666311,38172,99521938,99373,2268881,15895,668726,205029,1528088,30319836,17935659,16148261
2022,122186,100466,6749410,38415100,44195289,10349219,3089575,3030777,85476,23721834,53629,46113755,24395561,8211790,18757,1540954,295730,2359889,72250,10463538,342531,189002226,392321,3818601,11970899,60201459,12588707,9421520,709961,214438667,797824,6445694,478304,14223302,36874297,17385567,13214840,23175613,5729265,93224780,1390212351,18432479,64255,24295953,870408,49962747,59530,5204170,6244169,10879682,597891,8159,1293977,5665959,959836,74377,11352260,17299503,99281170,5277871,875547,1182065,7551122,6246396,121129283,9952124,5266838,944572,101116,52260,299539,68286391,2253484,1949404,4401886,30619273,29675,113858,67359,57486,79819925,171799,10716515,16790550,14127042,766871,5382266,10918685,7347839,9741090,4408162,9713107,332707,271057714,91454,1354646111,88236745,8685331,62500493,26370125,38296055,124732372,102431,3091573,7545265,51229747,6072457,25896719,114205,49403218,3066181,1958773,19402483,7658781,4272864,2044508,3406167,4947046,5483922,39703,1972796,568199,7119719,28240946,621633,3290334,3614817,5434,21249144,638240,2116845,20762645,31209,35581068,1393452,4172274,420365,3774963,391006,126927878,33477720,30037074,297121,22496149,308482,218056387,17403352,44976,4869772,35187065,9872,620694,6321015,4681494,7358163,32482968,219580552,37739106,3985388,10833046,7487936,21854,1959846,2504258,6945952,80072,32776,21137787,123183100,3475811,141164367,15014590,30650502,5220,54498,97216,48609378,16465267,7876,1935080,6958421,34649,6421713,12316148,50625386,167384,40552849,9278701,25473798,8511888,7092,1200079,70034944,9134221,58106,105628,9052671,217653,11650414,1446066,88313824,11537,23637437,5642053,61790674,152316,46304576,66383871,41959451,342653136,23296556,3405614,31090586,100979,32053289,38962,100299456,98558,2274184,15932,685311,206323,1542815,30909952,18457738,16460670
2023,123528,101599,6861423,39311066,44768774,10414460,3095780,3036066,85370,24360110,53541,46470695,24618891,8205827,19089,1554284,296217,2382516,72472,10461220,344814,191926604,398600,3808983,12135858,60726991,12910805,9390827,722359,215748760,805402,6383366,485175,14630831,37108952,17608270,13447258,23310321,5872937,95212629,1392243585,18548532,65400,24706735,882276,50385777,60388,5255273,6373617,10850408,605095,7970,1306656,5677241,978926,74407,11471209,17492377,100777183,5325991,895447,1171341,7696845,6260904,124455289,9918192,5262749,948574,100420,52576,301619,68487855,2292620,1986722,4382076,31273225,29709,114186,67491,57399,79633081,173494,10702036,17051198,14491301,773269,5482366,11031074,7353204,9877140,4397541,9681756,334414,273003345,91876,1368657241,89025185,8786453,62537369,26800439,38995990,124306527,103051,3111782,7678829,51892711,6123056,26017549,115408,49405901,3101321,1972056,19545147,7763948,4285682,2027457,3390287,5058569,5476758,39976,1973018,574235,7206021,28887273,624831,3252782,3652762,5462,21780712,637473,2118212,21345256,31363,35887321,1400077,4256298,420792,3844366,390383,128038603,33883918,30778133,300617,23190380,313519,223389112,17461895,45521,4885976,35671676,9917,626147,6379330,4713852,7440831,32757516,222523566,37618826,4030208,10825728,7600936,21937,1993623,2527648,6912705,81130,32872,21051452,125103066,3447918,140841043,15365227,31063032,5157,54816,97790,48646588,16834516,7881,1926279,7133354,34843,6526608,12619522,50904358,167796,41282481,9293189,25832986,8564289,7079,1195039,70252768,9261319,59179,105340,9279310,220917,11721503,1477281,89062582,11633,23645746,5696593,63461123,152752,47740753,66680747,41653799,345558876,23977973,3414497,31343483,100785,32436335,39751,101050273,97708,2278477,15966,702012,207651,1557327,31496075,18993117,16768643
2024,124843,102721,6965642,40211878,45317189,10475714,3100953,3040520,85249,25010814,53437,46820926,24838374,8198445,19420,1567271,296649,2404273,72672,10457813,347016,194818802,404838,3798599,12300116,61242848,13236354,9358590,734712,217022513,812837,6320677,491998,15044846,37337305,17825932,13680771,23439543,6017087,97193556,1393718598,18659439,66536,25115763,893992,50796833,61204,5304978,6504812,10818864,612198,7791,1318640,5687949,997975,74406,11588159,17681846,102264025,5372617,915459,1160388,7842389,6274998,127832772,9882200,5257575,952387,99697,52891,303602,68678912,2331256,2024699,4361801,31936794,29735,114480,67609,57296,79435146,175152,10686705,17309287,14862619,779760,5581199,11142457,7355453,10011495,4386157,9649040,336057,274900326,92260,1382464004,89773678,8886119,62567343,27227855,39693432,123857038,103623,3131844,7812110,52546157,6171795,26133022,116600,49395629,3135749,1985586,19680515,7868338,4297104,2010104,3373552,5170841,5468288,40244,1972259,580270,7290984,29534931,627763,3214929,3689617,5494,22317654,636567,2119101,21935817,31529,36188472,1406393,4340599,421084,3913103,389616,129129444,34285637,31534633,304062,23898202,318517,228825099,17518201,46050,4901696,36150795,9963,631521,6437031,4745351,7522536,33024609,225461632,37488853,4074394,10816740,7712768,22020,2027444,2547049,6879290,82175,32963,20962858,127016381,3418763,140497710,15720431,31472263,5093,55120,98332,48681738,17206489,7885,1917093,7313891,35028,6630412,12938928,51167425,168174,42009913,9305559,26187373,8615533,7067,1189597,70456359,9386581,60241,105014,9508896,224167,11787868,1508354,89790850,11727,23647302,5749403,65166051,153150,49203685,66967559,41346173,348459385,24674027,3423203,31588190,100596,32814965,40539,101770091,96821,2281699,15996,718812,209003,1571546,32076640,19542094,17071850
2025,126130,103830,7063346,41117073,45841317,10533598,3104932,3044164,85112,25673282,53316,47164630,25053669,8189560,19749,1579899,297015,2425114,72851,10453261,349116,197673655,411007,3787402,12463434,61747758,13564964,9325020,747001,218259140,820143,6257716,498756,15464910,37558781,18037946,13914726,23563343,6161500,99162003,1394638699,18764737,67661,25522447,905545,51194904,61985,5353218,6637613,10784894,619168,7621,1329908,5697913,1016919,74374,11702846,17867616,103742157,5417947,935553,1149245,7987458,6288430,131260566,9844275,5251272,956003,98948,53200,305484,68860292,2369298,2063339,4341061,32610058,29753,114741,67710,57174,79226209,176770,10670697,17564073,15240839,786286,5678503,11252370,7354531,10143828,4374007,9615020,337632,276746433,92606,1396046308,90481226,8984285,62591055,27651498,40387147,123385521,104140,3151611,7945150,53196255,6218713,26242210,117779,49372307,3169497,1999461,19809426,7971675,4307087,1992516,3355985,5283774,5458581,40505,1970540,586296,7374566,30182920,630434,3176863,3725352,5529,22859677,635537,2119511,22533811,31706,36484418,1412384,4425089,421239,3981057,388681,130198692,34683300,32306018,307452,24618828,323464,234362895,17572113,46560,4916787,36622606,10008,636782,6493913,4775930,7602853,33283408,228385138,37349696,4117882,10806202,7823210,22102,2061262,2562764,6845638,83203,33048,20872127,128921424,3388348,140139049,16080729,31877311,5030,55405,98843,48714478,17580816,7888,1907560,7500140,35203,6732999,13274251,51415437,168519,42733103,9315507,26536400,8665531,7056,1183838,70643689,9510130,61293,104648,9741450,227395,11849537,1539173,90498016,11819,23642264,5800391,66904889,153501,50692201,67243723,41037583,351352771,25384628,3431610,31823964,100409,33188608,41324,102458828,95902,2283845,16023,735697,210369,1585439,32650107,20104997,17370260
2026,127388,104924,7155564,42025073,46342439,10588595,3107514,3046950,84962,26347197,53181,47502160,25264384,8179015,20076,1592166,297302,2445179,73006,10447431,351132,200492718,417123,3775296,12625775,62241530,13896629,9290324,759237,219461193,827332,6194530,505449,15890878,37773183,18244825,14150237,23682392,6306140,101122048,1395015161,18864224,68775,25927377,917059,51579206,62740,5399920,6772059,10748271,626000,7461,1340434,5706931,1035707,74311,11815184,18049920,105214449,5462183,955729,1137940,8132273,6301042,134738965,9804478,5243772,959445,98172,53500,307273,69031230,2406911,2102637,4319807,33292971,29763,114966,67797,57032,79006126,178348,10654081,17816081,15625624,792842,5774751,11361131,7350459,10274632,4361058,9579699,339131,278540320,92916,1409416720,91148256,9081234,62608648,28072054,41078527,122893582,104612,3171050,8078176,53848689,6263802,26345148,118948,49334355,3202667,2013330,19932595,8074107,4315563,1974746,3337609,5397703,5447675,40757,1968013,592304,7456802,30831188,632847,3138640,3759929,5564,23406770,634391,2119419,23138983,31879,36775354,1418027,4509825,421250,4048039,388810,131244660,35077487,33114109,310791,25351560,328378,240004971,17623338,47049,4931083,37088044,10054,641933,6549557,4805528,7681441,33533721,231300307,37201662,4160582,10794149,7932519,22183,2095109,2575079,6811682,84219,33130,20779194,130819167,3356769,139768208,16447315,32277741,4966,55674,99323,48745261,17957583,7889,1897695,7691449,35368,6834269,13619600,51648839,168831,43454896,9322762,26881184,8714172,7046,1177794,70812089,9631856,62335,104246,9977125,230621,11906378,1569747,91185287,11907,23630722,5849515,68676464,153805,52205637,67508295,40728104,354237753,26109811,3439597,32050280,100224,33556297,42105,103118051,94953,2285004,16045,752674,211754,1599074,33219487,20682115,17664584
